tool,version,case,exitCode,file
tasm,4.1,CPU186,0,diagnostics/tasm-4.1/CPU186.txt
tlink,7.1,DUP,1,diagnostics/tlink-7.1/DUP.txt
tasm,4.1,DUPA,0,diagnostics/tasm-4.1/DUPA.txt
tasm,4.1,DUPB,0,diagnostics/tasm-4.1/DUPB.txt
tasm,4.1,ERRSYM,1,diagnostics/tasm-4.1/ERRSYM.txt
tasm,4.1,ERRSYN,1,diagnostics/tasm-4.1/ERRSYN.txt
tasm,4.1,EXTERN,0,diagnostics/tasm-4.1/EXTERN.txt
tlink,7.1,EXTERN,1,diagnostics/tlink-7.1/EXTERN.txt
tasm,4.1,HELLO,0,diagnostics/tasm-4.1/HELLO.txt
tlink,7.1,HELLO,0,diagnostics/tlink-7.1/HELLO.txt
tasm,4.1,LFONLY,0,diagnostics/tasm-4.1/LFONLY.txt
tasm,4.1,LONG,0,diagnostics/tasm-4.1/LONG.txt
tasm,4.1,NOEND,2,diagnostics/tasm-4.1/NOEND.txt
tasm,4.1,NOFILE,2,diagnostics/tasm-4.1/NOFILE.txt
tasm,4.1,NOSTK,0,diagnostics/tasm-4.1/NOSTK.txt
tlink,7.1,NOSTK,0,diagnostics/tlink-7.1/NOSTK.txt
tasm,4.1,UTF8,0,diagnostics/tasm-4.1/UTF8.txt
tasm,4.1,WARN,0,diagnostics/tasm-4.1/WARN.txt
tasm,3.2,CPU186,0,diagnostics/tasm-3.2/CPU186.txt
tlink,3.01,DUP,1,diagnostics/tlink-3.01/DUP.txt
tasm,3.2,DUPA,0,diagnostics/tasm-3.2/DUPA.txt
tasm,3.2,DUPB,0,diagnostics/tasm-3.2/DUPB.txt
tasm,3.2,ERRSYM,1,diagnostics/tasm-3.2/ERRSYM.txt
tasm,3.2,ERRSYN,1,diagnostics/tasm-3.2/ERRSYN.txt
tasm,3.2,EXTERN,0,diagnostics/tasm-3.2/EXTERN.txt
tlink,3.01,EXTERN,1,diagnostics/tlink-3.01/EXTERN.txt
tasm,3.2,HELLO,0,diagnostics/tasm-3.2/HELLO.txt
tlink,3.01,HELLO,0,diagnostics/tlink-3.01/HELLO.txt
tasm,3.2,LFONLY,0,diagnostics/tasm-3.2/LFONLY.txt
tasm,3.2,LONG,0,diagnostics/tasm-3.2/LONG.txt
tasm,3.2,NOEND,2,diagnostics/tasm-3.2/NOEND.txt
tasm,3.2,NOFILE,2,diagnostics/tasm-3.2/NOFILE.txt
tasm,3.2,NOSTK,0,diagnostics/tasm-3.2/NOSTK.txt
tlink,3.01,NOSTK,0,diagnostics/tlink-3.01/NOSTK.txt
tasm,3.2,UTF8,0,diagnostics/tasm-3.2/UTF8.txt
tasm,3.2,WARN,0,diagnostics/tasm-3.2/WARN.txt
ml,6.11,HELLO,0,diagnostics/ml-6.11/HELLO.txt
ml,6.11,ERRSYM,1,diagnostics/ml-6.11/ERRSYM.txt
ml,6.11,ERRSYN,1,diagnostics/ml-6.11/ERRSYN.txt
ml,6.11,NOEND,1,diagnostics/ml-6.11/NOEND.txt
ml,6.11,EXTERN,0,diagnostics/ml-6.11/EXTERN.txt
ml,6.11,CPU186,1,diagnostics/ml-6.11/CPU186.txt
ml,6.11,DUPA,0,diagnostics/ml-6.11/DUPA.txt
ml,6.11,DUPB,0,diagnostics/ml-6.11/DUPB.txt
ml,6.11,UTF8,0,diagnostics/ml-6.11/UTF8.txt
ml,6.11,LFONLY,0,diagnostics/ml-6.11/LFONLY.txt
ml,6.11,WARN,1,diagnostics/ml-6.11/WARN.txt
ml,6.11,NOSTK,0,diagnostics/ml-6.11/NOSTK.txt
ml,6.11,LONGFILENAME,0,diagnostics/ml-6.11/LONGFILENAME.txt
link,5.31,DUP,2,diagnostics/link-5.31/DUP.txt
link,5.31,EXTERN,2,diagnostics/link-5.31/EXTERN.txt
link,5.31,HELLO,0,diagnostics/link-5.31/HELLO.txt
link,5.31,NOSTK,0,diagnostics/link-5.31/NOSTK.txt
